id,X,Y,NUME,JUDET,JUDET AUTO,POPULATIE (in 2002),REGIUNE
1,23.57,46.07,Alba Iulia,Alba,AB,65091,Centru
2,23.58,46.1,Barabant,Alba,AB,2145,Centru
3,23.56,46.1,Micesti,Alba,AB,1420,Centru
4,23.59,46.02,Oarda,Alba,AB,1830,Centru
5,23.52,46.05,Paclisa,Alba,AB,682,Centru
6,23.61,46.05,Ciugud,Alba,AB,423,Centru
7,23.63,46.08,Drambar,Alba,AB,372,Centru
8,23.6,46.04,Limba,Alba,AB,290,Centru
9,23.67,46.08,Hapria,Alba,AB,507,Centru
10,23.63,46.06,Seusa,Alba,AB,606,Centru
11,23.63,46.09,Teleac,Alba,AB,385,Centru
12,23.07,46.27,Abrud,Alba,AB,4820,Centru
13,23.06,46.28,Abrud-Sat,Alba,AB,1355,Centru
14,23.09,46.26,Gura Cornei,Alba,AB,291,Centru
15,23.03,46.28,Soharu,Alba,AB,263,Centru
16,23.72,46.31,Aiud,Alba,AB,24619,Centru
17,23.69,46.32,Aiudul de Sus,Alba,AB,2276,Centru
18,23.72,46.35,Gambas,Alba,AB,578,Centru
19,23.65,46.34,Magina,Alba,AB,628,Centru
20,23.75,46.34,Pagida,Alba,AB,165,Centru
21,23.76,46.31,Ciumbrud,Alba,AB,1504,Centru
22,23.67,46.26,Garbova de Jos,Alba,AB,464,Centru
23,23.62,46.29,Garbova de Sus,Alba,AB,357,Centru
24,23.64,46.28,Garbovita,Alba,AB,164,Centru
25,23.75,46.29,Sancrai,Alba,AB,1023,Centru
26,23.69,46.26,Tifra,Alba,AB,116,Centru
27,23.92,46.18,Blaj,Alba,AB,15714,Centru
28,23.85,46.1,Deleni-Obarsie,Alba,AB,5,Centru
29,23.87,46.11,Flitesti,Alba,AB,4,Centru
30,23.9,46.17,Izvoarele,Alba,AB,2078,Centru
31,23.92,46.19,Petrisat,Alba,AB,316,Centru
32,23.89,46.16,Tiur,Alba,AB,1765,Centru
33,23.92,46.17,Veza,Alba,AB,1568,Centru
34,23.97,46.14,Manarade,Alba,AB,865,Centru
35,23.94,46.14,Spatac,Alba,AB,110,Centru
36,23.05,46.37,Campeni,Alba,AB,5704,Centru
37,23.07,46.36,Boncesti,Alba,AB,165,Centru
38,23.01,46.41,Borlesti,Alba,AB,141,Centru
39,23.01,46.38,Botesti,Alba,AB,158,Centru
40,23.03,46.41,Certege,Alba,AB,97,Centru
41,23.05,46.41,Coasta Vascului,Alba,AB,133,Centru
42,23.09,46.36,Dandut,Alba,AB,116,Centru
43,23.06,46.38,Dealu Bistrii,Alba,AB,122,Centru
44,23.07,46.41,Dealu Capsei,Alba,AB,318,Centru
45,23.05,46.4,Dric,Alba,AB,154,Centru
46,23.06,46.35,Fata Abrudului,Alba,AB,161,Centru
47,23.02,46.39,Floresti,Alba,AB,179,Centru
48,23.08,46.34,Furduiesti,Alba,AB,96,Centru
49,23.03,46.37,Mihoesti,Alba,AB,186,Centru
50,23.04,46.38,Motorasti,Alba,AB,108,Centru
51,23.03,46.44,Peste Valea Bistrii,Alba,AB,61,Centru
52,23.05,46.35,Poduri,Alba,AB,152,Centru
53,23.02,46.37,Sorlita,Alba,AB,35,Centru
54,23.01,46.45,Tomusesti,Alba,AB,85,Centru
55,23.07,46.38,Valea Bistrii,Alba,AB,379,Centru
56,23.03,46.4,Valea Caselor,Alba,AB,141,Centru
57,23.07,46.36,Varsi,Alba,AB,187,Centru
58,23.37,45.84,Cugir,Alba,AB,28780,Centru
59,23.43,45.77,Bocsitura,Alba,AB,87,Centru
60,23.4,45.79,Bucuru,Alba,AB,141,Centru
61,23.44,45.83,Calene,Alba,AB,121,Centru
62,23.35,45.81,Feteni,Alba,AB,119,Centru
63,23.46,45.78,Goasele,Alba,AB,37,Centru
64,23.45,45.82,Mugesti,Alba,AB,152,Centru
65,23.35,45.89,Vinerea,Alba,AB,2440,Centru
66,23.85,46.39,Ocna Mures,Alba,AB,11009,Centru
67,23.84,46.37,Uioara de Jos,Alba,AB,1345,Centru
68,23.88,46.39,Uioara de Sus,Alba,AB,1415,Centru
69,23.81,46.38,Cisteiu de Mures,Alba,AB,643,Centru
70,23.79,46.37,Micoslaca,Alba,AB,336,Centru
71,23.87,46.41,Razboieni-Cetate,Alba,AB,1508,Centru
72,23.57,45.96,Sebes,Alba,AB,23227,Centru
73,23.56,45.99,Lancram,Alba,AB,1487,Centru
74,23.56,45.92,Petresti,Alba,AB,4120,Centru
75,23.62,45.9,Rahau,Alba,AB,920,Centru
76,23.22,46.11,Zlatna,Alba,AB,4446,Centru
77,23.15,46.18,Botesti,Alba,AB,113,Centru
78,23.13,46.19,Budeni,Alba,AB,88,Centru
79,23.15,46.12,Dealu Roatei,Alba,AB,49,Centru
80,23.14,46.17,Dobrot,Alba,AB,30,Centru
81,23.19,46.14,Dumbrava,Alba,AB,16,Centru
82,23.3,46.1,Fenes,Alba,AB,1163,Centru
83,23.29,46.09,Galati,Alba,AB,465,Centru
84,23.17,46.15,Izvoru Ampoiului,Alba,AB,486,Centru
85,23.26,46.09,Patrangeni,Alba,AB,412,Centru
86,23.16,46.14,Pirita,Alba,AB,163,Centru
87,23.19,46.16,Parau Gruiului,Alba,AB,238,Centru
88,23.25,46.1,Podu lui Paul,Alba,AB,65,Centru
89,23.22,46.19,Runc,Alba,AB,52,Centru
90,23.11,46.21,Rusi,Alba,AB,66,Centru
91,23.25,46.09,Suseni,Alba,AB,168,Centru
92,23.15,46.15,Trampoiele,Alba,AB,593,Centru
93,23.28,46.08,Valea Mica,Alba,AB,517,Centru
94,23.22,46.14,Valtori,Alba,AB,261,Centru
95,22.97,46.45,Albac,Alba,AB,524,Centru
96,22.99,46.46,Barasti,Alba,AB,209,Centru
97,22.97,46.48,Budaiesti,Alba,AB,115,Centru
98,22.99,46.47,Cionesti,Alba,AB,119,Centru
99,22.91,46.49,Costesti,Alba,AB,150,Centru
100,22.99,46.49,Dealu Lamasoi,Alba,AB,263,Centru
101,22.94,46.46,Deve,Alba,AB,44,Centru
102,22.94,46.44,Dupa Plese,Alba,AB,174,Centru
103,22.96,46.46,Fata,Alba,AB,318,Centru
104,22.93,46.45,Plesesti,Alba,AB,71,Centru
105,22.93,46.44,Potionci,Alba,AB,88,Centru
106,22.96,46.43,Rogoz,Alba,AB,112,Centru
107,22.93,46.48,Rosesti,Alba,AB,65,Centru
108,22.96,46.48,Rusesti,Alba,AB,71,Centru
109,22.95,46.47,Sohodol,Alba,AB,37,Centru
110,22.93,46.45,Tamboresti,Alba,AB,43,Centru
111,23.13,46.1,Almasu Mare,Alba,AB,890,Centru
112,23.11,46.07,Almasu de Mijloc,Alba,AB,238,Centru
113,23.1,46.1,Bradet,Alba,AB,60,Centru
114,23.18,46.04,Cheile Cibului,Alba,AB,57,Centru
115,23.19,46.06,Cib,Alba,AB,401,Centru
116,23.16,46.06,Glod,Alba,AB,271,Centru
117,23.15,46.08,Nadastia,Alba,AB,227,Centru
118,22.76,46.48,Arieseni,Alba,AB,104,Centru
119,22.75,46.48,Avramesti,Alba,AB,56,Centru
120,22.71,46.51,Bubesti,Alba,AB,94,Centru
121,22.78,46.54,Casa de Piatra,Alba,AB,63,Centru
122,22.74,46.49,Cobles,Alba,AB,240,Centru
123,22.77,46.46,Dealu Bajului,Alba,AB,178,Centru
124,22.76,46.49,Fata Cristesei,Alba,AB,211,Centru
125,22.78,46.47,Fata Lapusului,Alba,AB,144,Centru
126,22.73,46.47,Galbena,Alba,AB,204,Centru
127,22.77,46.52,Hodobana,Alba,AB,69,Centru
128,22.72,46.48,Izlaz,Alba,AB,143,Centru
129,22.78,46.48,Pantesti,Alba,AB,124,Centru
130,22.74,46.45,Patrahaitesti,Alba,AB,83,Centru
131,22.73,46.51,Poienita,Alba,AB,67,Centru
132,22.78,46.48,Ravicesti,Alba,AB,34,Centru
133,22.8,46.47,Sturu,Alba,AB,75,Centru
134,22.75,46.47,Stei-Arieseni,Alba,AB,91,Centru
135,22.72,46.48,Vanvucesti,Alba,AB,37,Centru
136,22.83,46.36,Avram Iancu,Alba,AB,177,Centru
137,22.8,46.39,Achimetesti,Alba,AB,30,Centru
138,22.82,46.39,Avramesti,Alba,AB,34,Centru
139,22.76,46.41,Badai,Alba,AB,36,Centru
140,22.84,46.34,Boldesti,Alba,AB,14,Centru
141,22.79,46.4,Calugaresti,Alba,AB,113,Centru
142,22.76,46.39,Casoaia,Alba,AB,46,Centru
143,22.77,46.42,Candesti,Alba,AB,30,Centru
144,22.83,46.38,Carasti,Alba,AB,38,Centru
145,22.79,46.39,Cartulesti,Alba,AB,51,Centru
